,Date,Close,Num_Workday,Test_Period_Ahead_Return,Single_Period_Ahead_Return,Test_Period_Ahead_Std
9,1988-01-15,252.2899932861328,9,0.020531959540287612,-0.0006738204981142884,0.00021739766051990226
10,1988-01-18,252.1199951171875,10,0.013445975945195325,-0.010114183096757138,0.00020255515448791193
11,1988-01-19,249.57000732421875,11,0.026365293822015648,-0.02684622354611386,0.0001383711548878705
12,1988-01-20,242.8699951171875,12,0.04084488972859246,0.0020999290809015523,0.0001390941582711798
13,1988-01-21,243.3800048828125,13,0.03940338624986144,0.013846639204441437,0.0001325919006823475
14,1988-01-22,246.75,14,0.020952373531693262,0.02334344278352975,8.70687773638015e-05
15,1988-01-25,252.50999450683597,15,-0.009544130750258782,-0.010138202900022137,8.766490463417283e-05
16,1988-01-26,249.9499969482422,16,0.011282285891776458,-0.0007601618072656584,0.0001175939003186581
17,1988-01-27,249.75999450683597,17,0.032030811317823246,0.015655043834501402,0.00010226608407806288
18,1988-01-28,253.6699981689453,18,0.013363816825475066,0.014980104384386024,8.634330597825372e-05
19,1988-01-29,257.4700012207031,19,0.00543750297062492,-0.007612563423212332,8.363609110151698e-05
20,1988-02-01,255.50999450683597,0,0.02203444194998371,0.002504791997994765,8.54416875983175e-05
21,1988-02-02,256.1499938964844,1,0.01713845306672776,-0.01311731676913258,6.728853932925152e-05
22,1988-02-03,252.7899932861328,2,0.025475761981234205,0.0007120848900318678,7.90895258270437e-05
23,1988-02-04,252.97000122070312,3,0.03949080992279102,-0.004150701848800402,8.244949374165095e-05
24,1988-02-05,251.9199981689453,4,0.06017778863730206,-0.007224484275397514,7.161114054669393e-05
25,1988-02-08,250.1000061035156,5,0.06549382040411825,0.010675722126292987,7.516208639955793e-05
26,1988-02-09,252.7700042724609,6,0.052181773785151035,0.01974128816244099,6.978402554077802e-05
27,1988-02-10,257.760009765625,7,0.020716931003944932,-0.0027157517865855573,6.727288412749575e-05
28,1988-02-11,257.0599975585937,8,0.026958658451716896,0.007041148275827086,9.6251589778882e-05
29,1988-02-12,258.8699951171875,9,0.04098588507462053,0.00876895574638686,9.503280956093944e-05
30,1988-02-16,261.1400146484375,10,0.031783669018103936,-0.0022976413795618017,9.232464010655879e-05
31,1988-02-17,260.5400085449219,11,0.03534962444545308,-0.0050280091948637605,8.630925358507055e-05
32,1988-02-18,259.2300109863281,12,0.04019589734425388,0.014388690779119398,7.643781315884457e-05
33,1988-02-19,262.9599914550781,13,0.02334961533297132,0.015667764112668545,5.674312408167964e-05
34,1988-02-22,267.0799865722656,14,0.008012635749696887,-0.002246426599153511,5.974197445529415e-05
35,1988-02-23,266.4800109863281,15,0.01823771071448899,-0.0019514391692091301,5.918766276250112e-05
36,1988-02-24,265.9599914550781,16,0.019063045146303886,-0.010753442034327801,8.771143979618608e-05
37,1988-02-25,263.1000061035156,17,0.010186212898553936,0.0033826838092478584,8.816017332272985e-05
38,1988-02-26,263.989990234375,18,0.011023159096016566,0.02079632166007123,4.905212243672979e-05
39,1988-02-29,269.4800109863281,19,-0.004156247547512712,-0.0001484657239527306,4.906283996487466e-05
40,1988-03-01,269.44000244140625,0,-0.004861926761890631,0.001150525370341635,5.9389538634302745e-05
41,1988-03-02,269.75,1,0.004151974484476367,-0.00037073625028962,6.555388677384461e-05
42,1988-03-03,269.6499938964844,2,0.013424792134715107,-0.0020396358443081743,6.46517276948181e-05
43,1988-03-04,269.1000061035156,3,0.015161599701696634,0.00044591272562565854,7.426960585202385e-05
44,1988-03-07,269.2200012207031,4,0.005831689016789202,0.007874582525722356,6.845199647031171e-05
45,1988-03-08,271.3399963378906,5,-0.001621590798793738,-0.0011424690896203904,6.834629052929837e-05
46,1988-03-09,271.0299987792969,6,-0.0001844363841415787,-0.019370549472920676,7.351915949696311e-05
47,1988-03-10,265.7799987792969,7,-0.0015049811811329303,0.004213993236253799,9.734221795737873e-05
48,1988-03-11,266.8999938964844,8,-0.023154712690544775,0.005470181672781807,9.084273520423898e-05
49,1988-03-14,268.3599853515625,9,-0.030108760669667327,-0.0008569849504527146,0.00010146152722869119
50,1988-03-15,268.1300048828125,10,-0.02163136614673841,0.010218887049110843,8.606278844270745e-05
51,1988-03-16,270.8699951171875,11,-0.03894852875234287,0.00886031653467582,7.445852743937e-05
52,1988-03-17,273.2699890136719,12,-0.04435172395231856,-0.0003293312164114824,7.529961393078918e-05
53,1988-03-18,273.17999267578125,13,-0.054066876819933773,-0.008748752452365297,9.368930076555769e-05
54,1988-03-21,270.7900085449219,14,-0.036559672011835125,0.0004061647331579973,0.00017915047290081144
